epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2552,1.31601,3.31068,1.6586,0.35027,0.45679,0.38069,0.29532,0.9018,2.13045,1.30296,0.000236263,0.000236263,0.000236263
2,29.6927,1.25725,2.44191,1.60334,0.45917,0.53206,0.47293,0.34759,0.96548,1.83132,1.35449,0.000468003,0.000468003,0.000468003
3,42.0375,1.22683,2.20297,1.5607,0.52536,0.6255,0.61646,0.4658,0.89546,1.60612,1.28606,0.000693459,0.000693459,0.000693459
4,54.1216,1.19857,2.04895,1.54133,0.82045,0.59092,0.71291,0.55376,0.88582,1.38472,1.24134,0.000685726,0.000685726,0.000685726
5,66.0677,1.17029,1.98422,1.52748,0.6654,0.66108,0.69521,0.5377,0.9066,1.35858,1.26599,0.000676301,0.000676301,0.000676301
6,78.5185,1.12832,1.82213,1.48401,0.77082,0.69178,0.75187,0.59428,0.79655,1.21166,1.19811,0.000666876,0.000666876,0.000666876
7,93.2417,1.12579,1.75617,1.47682,0.75404,0.74182,0.75586,0.59794,0.79252,1.16188,1.17269,0.000657451,0.000657451,0.000657451
8,108.27,1.09493,1.66141,1.44568,0.7591,0.72587,0.79168,0.63089,0.76386,1.16142,1.1594,0.000648026,0.000648026,0.000648026
9,123.54,1.09132,1.63752,1.44627,0.83607,0.70928,0.80799,0.65044,0.77643,1.10921,1.17132,0.000638602,0.000638602,0.000638602
10,139.178,1.0556,1.55474,1.4171,0.83304,0.7072,0.81629,0.66298,0.74205,1.05562,1.14057,0.000629177,0.000629177,0.000629177
11,154.765,1.04608,1.5003,1.40867,0.78506,0.77215,0.79764,0.64709,0.7225,1.0129,1.12461,0.000619752,0.000619752,0.000619752
12,170.099,1.04504,1.46575,1.39542,0.7933,0.79757,0.83427,0.65962,0.76421,0.99916,1.13719,0.000610327,0.000610327,0.000610327
13,185.638,1.03692,1.44471,1.41259,0.74955,0.75144,0.80623,0.65968,0.72459,1.03441,1.11737,0.000600902,0.000600902,0.000600902
14,200.994,0.99951,1.35375,1.36519,0.7672,0.72802,0.78746,0.6532,0.70116,1.05355,1.11722,0.000591478,0.000591478,0.000591478
15,216.323,1.00693,1.36766,1.38302,0.84012,0.79844,0.85911,0.69168,0.76302,0.88226,1.15052,0.000582053,0.000582053,0.000582053
16,231.964,0.99795,1.34255,1.3784,0.85319,0.75736,0.84625,0.69858,0.72151,0.91191,1.11115,0.000572628,0.000572628,0.000572628
17,248.041,0.97148,1.25018,1.34254,0.84559,0.78366,0.84452,0.69835,0.70839,0.88502,1.10334,0.000563203,0.000563203,0.000563203
18,263.906,0.97972,1.28472,1.35751,0.81205,0.78794,0.83453,0.68483,0.74367,0.99083,1.15343,0.000553778,0.000553778,0.000553778
19,278.865,0.96287,1.2239,1.34047,0.87736,0.79038,0.87987,0.72221,0.67386,0.83814,1.06855,0.000544354,0.000544354,0.000544354
20,291.07,0.95794,1.21172,1.33522,0.88684,0.80228,0.87061,0.72635,0.67997,0.88215,1.09194,0.000534929,0.000534929,0.000534929
21,303.385,0.93527,1.20335,1.32644,0.83873,0.82,0.86608,0.72573,0.68646,0.81488,1.1048,0.000525504,0.000525504,0.000525504
22,315.7,0.93207,1.17886,1.3242,0.84833,0.83357,0.88486,0.73305,0.67072,0.78612,1.08876,0.000516079,0.000516079,0.000516079
23,328.068,0.92442,1.16015,1.31849,0.90095,0.79054,0.87894,0.73226,0.67958,0.85566,1.08438,0.000506654,0.000506654,0.000506654
24,340.154,0.93025,1.14872,1.31514,0.87052,0.79461,0.88115,0.73887,0.66628,0.82032,1.08825,0.00049723,0.00049723,0.00049723
25,352.613,0.91669,1.12085,1.31305,0.90948,0.80822,0.89435,0.74583,0.67591,0.74243,1.07015,0.000487805,0.000487805,0.000487805
26,365.043,0.90896,1.10128,1.29909,0.86483,0.82606,0.88629,0.74831,0.63824,0.78275,1.04578,0.00047838,0.00047838,0.00047838
27,377.73,0.90624,1.08262,1.29662,0.87492,0.82131,0.90101,0.75561,0.64231,0.75071,1.0429,0.000468955,0.000468955,0.000468955
28,390.44,0.90994,1.05908,1.2944,0.86917,0.8167,0.88881,0.75064,0.63058,0.77145,1.04169,0.00045953,0.00045953,0.00045953
29,402.638,0.8832,1.02926,1.28145,0.88258,0.82142,0.88944,0.74936,0.64759,0.75067,1.05369,0.000450106,0.000450106,0.000450106
30,414.836,0.87798,1.03961,1.28344,0.8723,0.84387,0.8971,0.74939,0.62505,0.73381,1.04698,0.000440681,0.000440681,0.000440681
31,427.192,0.87649,1.02258,1.27077,0.87708,0.85637,0.88849,0.75872,0.63551,0.76973,1.04366,0.000431256,0.000431256,0.000431256
32,439.723,0.87411,0.99138,1.27116,0.90452,0.8376,0.8981,0.76199,0.64883,0.74748,1.05716,0.000421831,0.000421831,0.000421831
33,452.573,0.86752,0.9851,1.26807,0.86192,0.82044,0.87839,0.74329,0.64403,0.78829,1.04259,0.000412406,0.000412406,0.000412406
34,465.037,0.85612,0.9609,1.26009,0.89232,0.86044,0.91299,0.77376,0.63749,0.69533,1.04747,0.000402982,0.000402982,0.000402982
35,477.795,0.85019,0.96065,1.25671,0.90024,0.81521,0.90056,0.76748,0.62059,0.75674,1.04596,0.000393557,0.000393557,0.000393557
36,490.258,0.85579,0.95106,1.25367,0.92223,0.8288,0.89946,0.75877,0.60652,0.72128,1.04248,0.000384132,0.000384132,0.000384132
37,502.953,0.83698,0.94504,1.24746,0.88685,0.84898,0.9042,0.77012,0.62313,0.72452,1.04776,0.000374707,0.000374707,0.000374707
38,515.299,0.83019,0.9242,1.23846,0.89685,0.86085,0.90458,0.76967,0.62559,0.69613,1.04306,0.000365282,0.000365282,0.000365282
39,527.81,0.85403,0.93689,1.24765,0.88205,0.86355,0.91181,0.77524,0.61235,0.66461,1.03009,0.000355858,0.000355858,0.000355858
40,540.611,0.8344,0.90454,1.24485,0.88014,0.85713,0.90276,0.77679,0.61423,0.68146,1.04649,0.000346433,0.000346433,0.000346433
41,552.984,0.80771,0.88857,1.22677,0.90687,0.85617,0.90893,0.78099,0.61242,0.69375,1.04135,0.000337008,0.000337008,0.000337008
42,565.573,0.81838,0.88224,1.22412,0.91266,0.85874,0.90235,0.77205,0.62243,0.65914,1.05542,0.000327583,0.000327583,0.000327583
43,578.458,0.81161,0.8806,1.22513,0.88939,0.8622,0.90934,0.78408,0.59499,0.67764,1.01669,0.000318158,0.000318158,0.000318158
44,591.019,0.79715,0.85868,1.21873,0.90195,0.84683,0.91547,0.78392,0.60812,0.64917,1.03306,0.000308734,0.000308734,0.000308734
45,603.396,0.7941,0.85791,1.21678,0.89514,0.85965,0.90592,0.77923,0.58619,0.66203,1.01448,0.000299309,0.000299309,0.000299309
46,616.003,0.79568,0.84698,1.21148,0.91948,0.83349,0.91605,0.78393,0.60763,0.68764,1.03519,0.000289884,0.000289884,0.000289884
47,629.595,0.79448,0.84058,1.20424,0.91041,0.85427,0.91663,0.78502,0.60225,0.64733,1.02657,0.000280459,0.000280459,0.000280459
48,643.119,0.79868,0.82548,1.21712,0.90228,0.84351,0.90672,0.77376,0.60727,0.69547,1.04594,0.000271034,0.000271034,0.000271034
49,655.728,0.78635,0.83129,1.20132,0.87631,0.86168,0.9004,0.7718,0.60527,0.66513,1.03475,0.00026161,0.00026161,0.00026161
50,668.248,0.77927,0.82208,1.20703,0.91903,0.86697,0.90851,0.78099,0.6125,0.65254,1.03646,0.000252185,0.000252185,0.000252185
51,680.817,0.76479,0.79504,1.19255,0.91574,0.87745,0.91155,0.78619,0.58719,0.64181,1.00944,0.00024276,0.00024276,0.00024276
52,693.627,0.77489,0.79141,1.19426,0.92811,0.85324,0.91905,0.79687,0.59956,0.64624,1.01306,0.000233335,0.000233335,0.000233335
53,706.341,0.76857,0.79361,1.19545,0.90823,0.85932,0.91334,0.79184,0.58949,0.63648,1.01263,0.00022391,0.00022391,0.00022391
54,718.626,0.75451,0.77189,1.18258,0.91298,0.86996,0.91815,0.79122,0.59379,0.63438,1.02392,0.000214486,0.000214486,0.000214486
55,730.833,0.76421,0.79347,1.19295,0.90187,0.86342,0.9092,0.77638,0.60908,0.64453,1.03101,0.000205061,0.000205061,0.000205061
56,742.996,0.76544,0.78213,1.18804,0.91266,0.86122,0.91705,0.79411,0.58249,0.62717,1.01174,0.000195636,0.000195636,0.000195636
57,755.178,0.7435,0.75958,1.1835,0.91233,0.8674,0.9052,0.77829,0.59248,0.6725,1.0173,0.000186211,0.000186211,0.000186211
58,767.147,0.73419,0.76454,1.1753,0.9092,0.87376,0.91679,0.7925,0.58348,0.63407,1.00911,0.000176786,0.000176786,0.000176786
59,779.36,0.74538,0.76283,1.18002,0.90929,0.87733,0.91187,0.78345,0.59096,0.64051,1.00955,0.000167362,0.000167362,0.000167362
60,791.625,0.73334,0.75258,1.17056,0.91908,0.84906,0.90119,0.77883,0.59622,0.64136,1.02679,0.000157937,0.000157937,0.000157937
61,803.785,0.72554,0.73209,1.16455,0.9077,0.88265,0.92456,0.8066,0.58597,0.60225,1.00377,0.000148512,0.000148512,0.000148512
62,816.227,0.72365,0.74789,1.17089,0.90575,0.86546,0.91172,0.78836,0.57783,0.64172,0.99561,0.000139087,0.000139087,0.000139087
63,828.389,0.72772,0.74306,1.17189,0.91961,0.87242,0.91625,0.79477,0.56865,0.62679,0.98501,0.000129662,0.000129662,0.000129662
64,840.483,0.73525,0.71975,1.16735,0.92034,0.8811,0.91921,0.79854,0.57137,0.61741,0.98814,0.000120238,0.000120238,0.000120238
65,852.616,0.71951,0.71744,1.16047,0.9257,0.86964,0.91898,0.80237,0.57184,0.60909,0.99093,0.000110813,0.000110813,0.000110813
66,865.93,0.67237,0.59625,1.14009,0.92638,0.85368,0.91418,0.79187,0.58039,0.615,0.99678,0.000101388,0.000101388,0.000101388
67,878.873,0.6381,0.56236,1.12353,0.8982,0.88028,0.91132,0.79485,0.56966,0.63225,0.98794,9.19632e-05,9.19632e-05,9.19632e-05
68,891.616,0.64154,0.55731,1.11754,0.92557,0.84856,0.90816,0.79791,0.56627,0.60126,0.99104,8.25384e-05,8.25384e-05,8.25384e-05
69,903.887,0.61905,0.53122,1.10072,0.92421,0.85487,0.9152,0.79978,0.5706,0.6068,0.98486,7.31136e-05,7.31136e-05,7.31136e-05
70,915.957,0.62389,0.52646,1.10522,0.93423,0.8692,0.91911,0.8048,0.56485,0.58983,0.98681,6.36888e-05,6.36888e-05,6.36888e-05
71,928.352,0.61411,0.52644,1.0933,0.92429,0.87554,0.91609,0.80349,0.56037,0.59456,0.9854,5.4264e-05,5.4264e-05,5.4264e-05
72,940.653,0.60735,0.51839,1.09694,0.91832,0.8695,0.91117,0.7987,0.5555,0.60507,0.97634,4.48392e-05,4.48392e-05,4.48392e-05
73,953.036,0.61026,0.52025,1.1063,0.92381,0.88029,0.917,0.79816,0.5646,0.60139,0.98331,3.54144e-05,3.54144e-05,3.54144e-05
74,965.444,0.59501,0.50519,1.09076,0.93811,0.86051,0.91595,0.80104,0.56042,0.60692,0.9787,2.59896e-05,2.59896e-05,2.59896e-05
75,977.44,0.59859,0.48726,1.08593,0.92771,0.86957,0.91707,0.80248,0.55615,0.59831,0.97724,1.65648e-05,1.65648e-05,1.65648e-05
